,date,Code,CO,NO_2,NOx,O_3,PM10,SO_2,NO,station,type,lat,lon
292,2018-06-01,mc220,,40.92222222222223,78.51376262626263,,25.083333333333332,,24.611237373737378,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
293,2018-06-01,mc282,,13.197282608695653,15.776871980676328,,,0.6724637681159419,1.7271135265700484,Karlshorst,Hintergrund,52.485296,13.529504000000001
294,2018-06-01,mc085,,7.519504830917875,8.422524154589372,76.53792270531402,17.224214975845406,,0.6028985507246376,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
295,2018-07-01,mc143,,37.55428938756428,65.24526647966339,,21.6505376344086,,18.144284712482463,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
296,2018-07-01,mc171,,16.356182795698924,19.78745909303413,,16.288978494623652,,2.268700327255726,Mitte,Hintergrund,52.51360555555556,13.418833333333334
297,2018-07-01,mc018,,16.01309022907901,17.702372604020574,,,,1.1270453482935952,Schöneberg,Hintergrund,52.48581388888889,13.348775
298,2018-07-01,mc032,,10.951028517999065,12.113195418419823,68.72079667644184,10.9744623655914,,0.7061711079943898,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
299,2018-07-01,mc027,,9.302663734115349,10.387646627565983,78.10472183263208,,,0.7079667644183772,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
300,2018-07-01,mc124,,41.95026881720429,79.8629179959825,,20.42880184331797,,24.809021623537753,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
301,2018-07-01,mc145,,8.547043010752686,9.288000977517106,66.22528050490884,,,0.5481427174975562,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
302,2018-07-01,mc174,0.23911290322580647,28.20886459263037,43.73831229546518,,20.010226741467974,1.0521856007480128,10.191306472863277,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
303,2018-07-01,mc042,,15.746212121212123,18.23582600195504,74.60176651305683,19.03091397849462,,1.6210899315738023,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
304,2018-07-01,mc010,,19.599217986314763,22.65347018572825,71.3078541374474,16.888440860215052,,2.013196480938417,Wedding,Hintergrund,52.543040999999995,13.349326000000001
305,2018-07-01,mc117,0.2643817204301075,38.645776842761414,64.27761025401277,,19.982410004675085,,16.7720469066542,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
306,2018-07-01,mc077,,9.75830889540567,11.182429130009778,63.35771889400922,15.530797101449275,,0.9619990224828934,Buch,Stadtrand,52.64416666666666,13.483055555555556
307,2018-07-01,mw088,0.25292776998597477,37.01338242169237,58.475875515321526,63.71756661991585,18.77016129032258,,14.039562879850397,Messwagen Leipziger Str.,Verkehr,52.510222222222225,13.38811111111111
308,2018-07-01,mc282,,13.585670874240304,16.533426834969614,,,0.6434081346423562,1.93869798971482,Karlshorst,Hintergrund,52.485296,13.529504000000001
309,2018-07-01,mc220,,37.58152705172341,64.56731055293466,,23.5739247311828,,17.675644948786605,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
310,2018-07-01,mc085,,7.724462365591397,8.819525904203322,77.57673509286411,15.708333333333334,,0.6951368523949167,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
311,2018-07-01,mc115,,38.3713768115942,69.76291491351098,,,,20.637213651238902,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
