,date,Code,CO,NO_2,NOx,O_3,PM10,SO_2,NO,station,type,nördliche Breite,östliche Länge
78,2017-01-05,mc143,,32.791666666666664,58.958333333333336,,11.708333333333334,,17.208333333333332,143 Silbersteinstraße,Verkehr,"52° 28' 3,04""","13° 26' 29,94"""
79,2017-01-05,mc117,0.21666666666666676,24.333333333333332,33.291666666666664,,8.041666666666666,,5.75,117 Schildhornstraße,Verkehr,"52° 27' 49,00""","13° 19' 5,70"""
80,2017-01-06,mc143,,55.208333333333336,110.08333333333333,,14.208333333333334,,35.916666666666664,143 Silbersteinstraße,Verkehr,"52° 28' 3,04""","13° 26' 29,94"""
81,2017-01-06,mc085,,28.833333333333332,34.208333333333336,39.333333333333336,8.833333333333334,,3.625,085 Friedrichshagen,Stadtrand,"52° 26' 51,71""","13° 38' 49,38"""
82,2017-01-06,mc010,,38.56521739130435,52.391304347826086,33.666666666666664,8.75,,8.91304347826087,010 Wedding,Hintergrund,"52° 32' 34,9476""","13° 20' 57,5736"""
83,2017-01-06,mc027,,35.25,41.958333333333336,30.5,,,4.416666666666667,027 Marienfelde,Stadtrand,"52° 23' 54,26""","13° 22' 5,17"""
84,2017-01-06,mc174,0.3416666666666666,47.25,87.04166666666667,,12.833333333333334,1.6666666666666667,26.041666666666668,174 Frankfurter Allee,Verkehr,"52° 30' 50,66""","13° 28' 11,75"""
85,2017-01-06,mc171,,36.458333333333336,46.416666666666664,,9.041666666666666,,6.5,171 Mitte,Hintergrund,"52° 30' 48,98""","13° 25' 7,80"""
86,2017-01-06,mc124,,75.70833333333333,246.20833333333334,,15.0,,111.70833333333333,124 Mariendorfer Damm,Verkehr,52° 26' 17'',13° 23' 15''
87,2017-01-06,mc282,,34.625,45.666666666666664,,,0.375,7.125,282 Karlshorst,Hintergrund,"52° 29' 7,0656""","13° 31' 46,2144"""
88,2017-01-06,mc145,,17.541666666666668,18.041666666666668,44.916666666666664,,,0.375,145 Frohnau,Stadtrand,"52° 39' 11,77""","13° 17' 45,89"""
89,2017-01-06,mc042,,43.541666666666664,61.541666666666664,30.541666666666668,13.291666666666666,,11.541666666666666,042 Neukölln,Hintergrund,"52° 29' 21,98""","13° 25' 51,08"""
90,2017-01-06,mc115,,52.04347826086956,94.78260869565217,,,,27.956521739130434,115 Hardenbergplatz,Verkehr,"52° 30' 23,76""","13° 19' 58,70"""
91,2017-01-06,mc117,0.4666666666666666,67.0,158.04166666666666,,12.958333333333334,,59.625,117 Schildhornstraße,Verkehr,"52° 27' 49,00""","13° 19' 5,70"""
92,2017-01-06,mc220,,64.70833333333333,158.54166666666666,,17.666666666666668,,61.458333333333336,220 Karl-Marx-Straße,Verkehr,"52° 28' 54,01""","13° 26' 2,28"""
93,2017-01-06,mc018,,38.958333333333336,48.708333333333336,,,,6.5,018 Schöneberg,Hintergrund,"52° 29' 8,93""","13° 20' 55,59"""
94,2017-01-06,mc032,,11.083333333333334,12.125,45.666666666666664,6.708333333333333,,0.4166666666666667,032 Grunewald,Stadtrand,"52° 28' 23,49""","13° 13' 30,52"""
95,2017-01-06,mc077,,15.791666666666666,18.583333333333332,,8.416666666666666,,1.875,077 Buch,Stadtrand,"52° 38' 39""","13° 28' 59"""
96,2017-01-07,mc042,,36.416666666666664,45.333333333333336,27.416666666666668,20.375,,5.916666666666667,042 Neukölln,Hintergrund,"52° 29' 21,98""","13° 25' 51,08"""
97,2017-01-07,mc115,,51.625,122.04166666666667,,,,46.0,115 Hardenbergplatz,Verkehr,"52° 30' 23,76""","13° 19' 58,70"""
98,2017-01-07,mc085,,19.0,20.916666666666668,42.875,15.041666666666666,,0.9166666666666666,085 Friedrichshagen,Stadtrand,"52° 26' 51,71""","13° 38' 49,38"""
99,2017-01-07,mc032,,21.791666666666668,25.125,37.625,15.541666666666666,,2.0833333333333335,032 Grunewald,Stadtrand,"52° 28' 23,49""","13° 13' 30,52"""
100,2017-01-07,mc027,,17.833333333333332,18.666666666666668,40.708333333333336,,,0.7083333333333334,027 Marienfelde,Stadtrand,"52° 23' 54,26""","13° 22' 5,17"""
101,2017-01-07,mc117,0.42500000000000004,53.041666666666664,110.70833333333333,,23.833333333333332,,37.666666666666664,117 Schildhornstraße,Verkehr,"52° 27' 49,00""","13° 19' 5,70"""
102,2017-01-07,mc124,,45.666666666666664,100.45833333333333,,24.541666666666668,,35.791666666666664,124 Mariendorfer Damm,Verkehr,52° 26' 17'',13° 23' 15''
103,2017-01-07,mc171,,34.083333333333336,38.25,,17.791666666666668,,2.875,171 Mitte,Hintergrund,"52° 30' 48,98""","13° 25' 7,80"""
104,2017-01-07,mc018,,35.458333333333336,42.916666666666664,,,,4.833333333333333,018 Schöneberg,Hintergrund,"52° 29' 8,93""","13° 20' 55,59"""
105,2017-01-07,mc010,,33.45454545454545,45.18181818181818,30.333333333333332,17.583333333333332,,7.909090909090909,010 Wedding,Hintergrund,"52° 32' 34,9476""","13° 20' 57,5736"""
106,2017-01-07,mc282,,33.333333333333336,45.833333333333336,,,3.5,8.208333333333334,282 Karlshorst,Hintergrund,"52° 29' 7,0656""","13° 31' 46,2144"""
107,2017-01-07,mc220,,54.708333333333336,134.79166666666666,,27.0,,52.416666666666664,220 Karl-Marx-Straße,Verkehr,"52° 28' 54,01""","13° 26' 2,28"""
108,2017-01-07,mc143,,58.75,162.66666666666666,,22.0,,68.08333333333333,143 Silbersteinstraße,Verkehr,"52° 28' 3,04""","13° 26' 29,94"""
109,2017-01-07,mc174,0.4375,46.041666666666664,78.5,,27.791666666666668,3.25,21.333333333333332,174 Frankfurter Allee,Verkehr,"52° 30' 50,66""","13° 28' 11,75"""
110,2017-01-07,mc145,,24.916666666666668,26.5,35.5,,,1.0,145 Frohnau,Stadtrand,"52° 39' 11,77""","13° 17' 45,89"""
111,2017-01-07,mc077,,33.875,37.833333333333336,,18.666666666666668,,2.7083333333333335,077 Buch,Stadtrand,"52° 38' 39""","13° 28' 59"""
112,2017-01-08,mc174,0.4583333333333333,42.083333333333336,79.16666666666667,,46.166666666666664,1.9166666666666667,24.333333333333332,174 Frankfurter Allee,Verkehr,"52° 30' 50,66""","13° 28' 11,75"""
113,2017-01-08,mc220,,43.166666666666664,92.33333333333333,,47.0,,32.125,220 Karl-Marx-Straße,Verkehr,"52° 28' 54,01""","13° 26' 2,28"""
114,2017-01-08,mc032,,30.875,41.291666666666664,7.625,30.5,,6.708333333333333,032 Grunewald,Stadtrand,"52° 28' 23,49""","13° 13' 30,52"""
115,2017-01-08,mc171,,38.375,47.375,,37.041666666666664,,6.0,171 Mitte,Hintergrund,"52° 30' 48,98""","13° 25' 7,80"""
116,2017-01-08,mc145,,20.5,22.083333333333332,16.375,,,1.0,145 Frohnau,Stadtrand,"52° 39' 11,77""","13° 17' 45,89"""
117,2017-01-08,mc010,,37.21739130434783,54.130434782608695,8.458333333333334,37.916666666666664,,11.130434782608695,010 Wedding,Hintergrund,"52° 32' 34,9476""","13° 20' 57,5736"""
118,2017-01-08,mc282,,27.166666666666668,30.166666666666668,,,1.0833333333333333,2.0,282 Karlshorst,Hintergrund,"52° 29' 7,0656""","13° 31' 46,2144"""
119,2017-01-08,mc143,,59.291666666666664,189.41666666666666,,40.041666666666664,,85.16666666666667,143 Silbersteinstraße,Verkehr,"52° 28' 3,04""","13° 26' 29,94"""
120,2017-01-08,mc124,,41.625,87.91666666666667,,43.083333333333336,,30.375,124 Mariendorfer Damm,Verkehr,52° 26' 17'',13° 23' 15''
121,2017-01-08,mc042,,38.25,51.208333333333336,8.75,39.208333333333336,,8.416666666666666,042 Neukölln,Hintergrund,"52° 29' 21,98""","13° 25' 51,08"""
122,2017-01-08,mc117,0.5041666666666665,51.166666666666664,117.58333333333333,,42.625,,43.625,117 Schildhornstraße,Verkehr,"52° 27' 49,00""","13° 19' 5,70"""
123,2017-01-08,mc115,,54.708333333333336,135.79166666666666,,,,52.916666666666664,115 Hardenbergplatz,Verkehr,"52° 30' 23,76""","13° 19' 58,70"""
124,2017-01-08,mc077,,24.583333333333332,26.166666666666668,,34.416666666666664,,1.125,077 Buch,Stadtrand,"52° 38' 39""","13° 28' 59"""
125,2017-01-08,mc085,,15.833333333333334,16.583333333333332,27.375,27.958333333333332,,0.4166666666666667,085 Friedrichshagen,Stadtrand,"52° 26' 51,71""","13° 38' 49,38"""
126,2017-01-08,mc027,,25.458333333333332,28.958333333333332,17.083333333333332,,,2.3333333333333335,027 Marienfelde,Stadtrand,"52° 23' 54,26""","13° 22' 5,17"""
127,2017-01-08,mc018,,42.416666666666664,66.45833333333333,,,,15.791666666666666,018 Schöneberg,Hintergrund,"52° 29' 8,93""","13° 20' 55,59"""
128,2017-01-09,mc010,,38.04545454545455,110.68181818181819,3.6666666666666665,31.083333333333332,,47.68181818181818,010 Wedding,Hintergrund,"52° 32' 34,9476""","13° 20' 57,5736"""
129,2017-01-09,mc220,,52.458333333333336,217.08333333333334,,39.25,,107.70833333333333,220 Karl-Marx-Straße,Verkehr,"52° 28' 54,01""","13° 26' 2,28"""
130,2017-01-09,mc174,0.5791666666666667,46.375,166.125,,39.791666666666664,2.375,78.375,174 Frankfurter Allee,Verkehr,"52° 30' 50,66""","13° 28' 11,75"""
131,2017-01-09,mc027,,24.875,34.125,6.625,,,6.083333333333333,027 Marienfelde,Stadtrand,"52° 23' 54,26""","13° 22' 5,17"""
132,2017-01-09,mc171,,36.333333333333336,84.70833333333333,,29.541666666666668,,31.625,171 Mitte,Hintergrund,"52° 30' 48,98""","13° 25' 7,80"""
133,2017-01-09,mc032,,22.583333333333332,41.583333333333336,6.375,25.375,,12.416666666666666,032 Grunewald,Stadtrand,"52° 28' 23,49""","13° 13' 30,52"""
134,2017-01-09,mc143,,59.5,288.6666666666667,,33.333333333333336,,149.875,143 Silbersteinstraße,Verkehr,"52° 28' 3,04""","13° 26' 29,94"""
135,2017-01-09,mc124,,43.583333333333336,184.83333333333334,,35.958333333333336,,92.45833333333333,124 Mariendorfer Damm,Verkehr,52° 26' 17'',13° 23' 15''
136,2017-01-09,mc042,,34.291666666666664,79.5,2.7916666666666665,30.333333333333332,,29.541666666666668,042 Neukölln,Hintergrund,"52° 29' 21,98""","13° 25' 51,08"""
137,2017-01-09,mc117,0.6291666666666668,55.541666666666664,217.79166666666666,,33.708333333333336,,106.375,117 Schildhornstraße,Verkehr,"52° 27' 49,00""","13° 19' 5,70"""
138,2017-01-09,mc115,,49.77272727272727,175.0909090909091,,,,82.0,115 Hardenbergplatz,Verkehr,"52° 30' 23,76""","13° 19' 58,70"""
139,2017-01-09,mc077,,30.708333333333332,68.875,,27.083333333333332,,24.833333333333332,077 Buch,Stadtrand,"52° 38' 39""","13° 28' 59"""
140,2017-01-09,mc085,,25.166666666666668,31.0,8.166666666666666,23.791666666666668,,3.75,085 Friedrichshagen,Stadtrand,"52° 26' 51,71""","13° 38' 49,38"""
141,2017-01-09,mc018,,34.22727272727273,80.54545454545455,,,,30.227272727272727,018 Schöneberg,Hintergrund,"52° 29' 8,93""","13° 20' 55,59"""
142,2017-01-09,mc282,,34.041666666666664,64.125,,,0.7916666666666666,19.708333333333332,282 Karlshorst,Hintergrund,"52° 29' 7,0656""","13° 31' 46,2144"""
143,2017-01-09,mc145,,28.375,72.875,5.916666666666667,,,29.041666666666668,145 Frohnau,Stadtrand,"52° 39' 11,77""","13° 17' 45,89"""
144,2017-01-10,mc145,,30.541666666666668,32.5,28.25,,,1.375,145 Frohnau,Stadtrand,"52° 39' 11,77""","13° 17' 45,89"""
145,2017-01-10,mc018,,39.708333333333336,53.0,,,,8.875,018 Schöneberg,Hintergrund,"52° 29' 8,93""","13° 20' 55,59"""
146,2017-01-10,mc171,,36.666666666666664,43.541666666666664,,26.791666666666668,,4.458333333333333,171 Mitte,Hintergrund,"52° 30' 48,98""","13° 25' 7,80"""
147,2017-01-10,mc010,,36.0,53.714285714285715,24.391304347826086,27.583333333333332,,11.666666666666666,010 Wedding,Hintergrund,"52° 32' 34,9476""","13° 20' 57,5736"""
148,2017-01-10,mc027,,18.791666666666668,21.25,39.458333333333336,,,1.75,027 Marienfelde,Stadtrand,"52° 23' 54,26""","13° 22' 5,17"""
149,2017-01-10,mc174,0.4541666666666668,50.125,111.375,,32.208333333333336,4.541666666666667,40.041666666666664,174 Frankfurter Allee,Verkehr,"52° 30' 50,66""","13° 28' 11,75"""
150,2017-01-10,mc220,,63.791666666666664,183.20833333333334,,35.625,,78.125,220 Karl-Marx-Straße,Verkehr,"52° 28' 54,01""","13° 26' 2,28"""
151,2017-01-10,mc085,,14.708333333333334,15.958333333333334,40.208333333333336,20.125,,0.7916666666666666,085 Friedrichshagen,Stadtrand,"52° 26' 51,71""","13° 38' 49,38"""
152,2017-01-10,mc115,,54.708333333333336,119.08333333333333,,,,42.166666666666664,115 Hardenbergplatz,Verkehr,"52° 30' 23,76""","13° 19' 58,70"""
153,2017-01-10,mc077,,24.958333333333332,27.625,,24.25,,1.875,077 Buch,Stadtrand,"52° 38' 39""","13° 28' 59"""
154,2017-01-10,mc042,,38.666666666666664,50.666666666666664,22.25,26.625,,8.0,042 Neukölln,Hintergrund,"52° 29' 21,98""","13° 25' 51,08"""
155,2017-01-10,mc282,,20.833333333333332,25.458333333333332,,,0.9166666666666666,3.0833333333333335,282 Karlshorst,Hintergrund,"52° 29' 7,0656""","13° 31' 46,2144"""
156,2017-01-10,mc124,,42.25,85.375,,29.0,,28.208333333333332,124 Mariendorfer Damm,Verkehr,52° 26' 17'',13° 23' 15''
157,2017-01-10,mc117,0.5625,68.0,191.45833333333334,,27.73913043478261,,80.79166666666667,117 Schildhornstraße,Verkehr,"52° 27' 49,00""","13° 19' 5,70"""
158,2017-01-10,mc032,,25.041666666666668,26.541666666666668,31.708333333333332,21.458333333333332,,0.75,032 Grunewald,Stadtrand,"52° 28' 23,49""","13° 13' 30,52"""
159,2017-01-10,mc143,,60.416666666666664,186.16666666666666,,29.125,,82.5,143 Silbersteinstraße,Verkehr,"52° 28' 3,04""","13° 26' 29,94"""
160,2017-01-11,mc027,,16.5,18.375,42.916666666666664,,,1.4166666666666667,027 Marienfelde,Stadtrand,"52° 23' 54,26""","13° 22' 5,17"""
161,2017-01-11,mc124,,38.916666666666664,86.25,,37.375,,31.041666666666668,124 Mariendorfer Damm,Verkehr,52° 26' 17'',13° 23' 15''
